Average Precol GPA,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
3.48144,3.8165,157.3401,154.9181
