,1st_Term_Funding,2nd_Term_Funding,3rd_Term_Funding,4th_Term_Funding,Start_year,Start_age,College,Age,Degree,Gender,funding_indicator,ID,Citizenship,Major_id,Major,net_cost,Program,Prep Level,Total Charges,Total Funding Amount,Y,PC1,PC2,PC3,Term 1 GPA,Term 2 GPA,Term 3 GPA,Term 4 GPA,Term 5 GPA,Term 6 GPA,Term 7 GPA,Term 8 GPA,gap_indicator,GPA_trend,Valid term,Average_GPA,academic_period,s_College,s_Citizenship,SAPC1,SAPC2,SAPC3   ,Average Precol GPA,GMAT Score,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
11,3699,3699,432,432,2013,23,GD Harpur,29,Doctor of Philosophy,Male,1,11,White,C49,Physics,64128.01,Harpur Doctor of Philosophy,Bachelors Prepared,75570.01,11442,1,0.310192016,0.33554607,-0.046869178,3.7,3.7,0,0,0,0,0,0,0,0,2,3.7,5,GD Harpur,White,-227.71481,121.2944555,5.10778,3.19000 ,,4.0000 ,159.0000 ,163.0000 
12,8325,8325,925,925,2013,23,GD Harpur,29,Doctor of Philosophy,Female,1,12,China,C34,Mathematics,7205.98,Harpur Doctor of Philosophy,Masters Prepared,27555.98,20350,1,0.308112738,-0.989133981,-0.820935669,3.8,4,3.97,4,4,4,0,0,0,0.03,6,3.96,4.4,GD Harpur,China,-222.9498286,261.831,5.213556847,3.72000 ,,3.0000 ,166.0000 ,170.0000 
13,432,432,453,453,2012,22,GD Watson,29,Doctor of Philosophy,Male,1,13,White,R92,Computer Science,3357.92,Computer Science PhD,0,6033.92,2676,1,0.234694929,-0.305896207,-0.811773206,4,4,4,4,0,0,0,0,0,0,4,4,6.4,GD Non-Harpur,White,-222.9496486,121.2944555,5.332716847,3.90000 ,,3.8165 ,157.3401 ,154.9181 
14,0,0,3141,3141,2008,22,GD Harpur,33,Doctor of Philosophy,Female,1,14,White,C45,Behavioral Neuroscience,24895.58,Harpur Doctor of Philosophy,Bachelors Prepared,45721.58,20826,1,3.79E-16,-5.79E-16,-1.21E-15,3.38,3.64,3.7,3.93,3.5,4,0,0,0,0.08,6,3.69,5.4,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
15,0,0,0,4968,2008,23.7,GD Watson,35,Doctor of Philosophy,Male,1,15,Africa,R98,Mechanical Engineering,19598.5,Mechanical Engineering PhD,0,25692.5,6094,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,0,0,0,0,0,0,0,3,4,2.2,GD Non-Harpur,Africa,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
16,4968,4968,3141,3141,2008,31,GD Harpur,42,Doctor of Philosophy,Female,1,16,Unknown,C33,Comparative Literature,22524.84,Harpur Doctor of Philosophy,Masters Prepared,47109.84,24585,1,2.304476868,-4.549164666,1.688796628,4,3.87,3.92,3.87,4,0,0,0,0,0,5,3.93,8.4,GD Harpur,White,-222.9500672,236.092,5.055630202,3.48144 ,,6.0000 ,143.0000 ,160.0000 
17,0,0,0,4968,2008,29.7,GD Watson,41,Doctor of Philosophy,Male,1,17,Asia,R87,Industrial and Systems Enginee,23116.85,Industrial and Systems Eng PhD,0,35464.85,12348,1,3.79E-16,-5.79E-16,-1.21E-15,3.9,4,4,3.7,0,0,0,0,0,-0.06,4,3.9,3.7,GD Non-Harpur,Asia,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
18,0,0,0,0,2008,27,GD Watson,38,Doctor of Philosophy,Male,1,18,India,R96,Electrical Engineering,31458.6,Electrical Engineering PhD,0,44048.6,12590,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,0,0,0,0,0,0,0,0,2,4,4.4,GD Non-Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
19,0,0,0,4968,2008,30.3,GD Harpur,42,Doctor of Philosophy,Female,1,19,Asia,C60,Translation Studies,26123.65,Harpur Doctor of Philosophy,Bachelors Prepared,41225.65,15102,1,3.79E-16,-5.79E-16,-1.21E-15,3.32,3.65,3.87,0,0,0,0,0,0,0.28,3,3.61,5,GD Harpur,Asia,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
20,4185,4185,4435,4435,2010,41.3,GD Education,51,Doctor of Education,Female,1,20,White,E99,Educational Theory and Practic,4846.78,Education EDD,0,27672.78,22826,1,3.79E-16,-5.79E-16,-1.21E-15,4,3.9,4,4,4,0,0,0,0,0.01,5,3.98,5.6,GD Non-Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
21,0,0,0,0,2007,28,GD Harpur,40,Doctor of Philosophy,Female,0,21,Europe,C60,Translation Studies,27119.3,Harpur Doctor of Philosophy,Masters Prepared,27119.3,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,0,0,0,0,0,0,0,0,2,4,4.4,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
22,5166,6890,5688,5688,2008,39.7,GD Harpur,51,Doctor of Philosophy,Female,1,22,Asia,C38,Philosophy Interpretation and,17482.13,Harpur Doctor of Philosophy,Masters Prepared,48521.13,31039,1,0.150586918,-0.196271676,-0.520856697,4,3.81,3.87,3.85,4,0,0,0,1,0,5,3.91,9.7,GD Harpur,Asia,-222.9497986,121.2944555,5.233416847,3.75000 ,,3.8165 ,157.3401 ,154.9181 
23,0,0,3141,3141,2008,33,GD Harpur,44,Doctor of Philosophy,Male,1,23,White,C13,Biological Sciences,12541.64,Harpur Doctor of Philosophy,Bachelors Prepared,25845.64,13304,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,3.33,4,0,0,0,0,0,-0.07,4,3.83,5,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
24,0,0,0,4968,2008,24.3,GD Watson,36,Doctor of Philosophy,Male,1,24,Europe,R93,Systems Science,17924.85,Systems Science PhD,0,22892.85,4968,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,4,0,0,0,0,0,0,4,4,1.6,GD Non-Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
25,0,0,0,4968,2008,30.7,GD Watson,42,Doctor of Philosophy,Male,1,25,China,R87,Industrial and Systems Enginee,27509.74,Industrial and Systems Eng PhD,0,38593.74,11084,1,3.79E-16,-5.79E-16,-1.21E-15,3.9,3.85,4,0,0,0,0,0,0,0.05,3,3.92,4.2,GD Non-Harpur,China,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
