,1st_Term_Funding,2nd_Term_Funding,3rd_Term_Funding,4th_Term_Funding,Start_year,Start_age,College,Age,Degree,Gender,funding_indicator,ID,Citizenship,Major_id,Major,net_cost,Program,Prep Level,Total Charges,Total Funding Amount,Y,Term 1 GPA,Term 2 GPA,Term 3 GPA,Term 4 GPA,Term 5 GPA,Term 6 GPA,Term 7 GPA,Term 8 GPA,gap_indicator,GPA_trend,Valid term,Average_GPA,academic_period,s_College,s_Citizenship,Average Precol GPA,GMAT Score,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
17,0,0,0,4968,2008,29.7,GD Watson,41,Doctor of Philosophy,Male,1,17,Asia,R87,Industrial and Systems Enginee,23116.85,Industrial and Systems Eng PhD,0,35464.85,12348,1,3.9,4,4,3.7,0,0,0,0,0,-0.06,4,3.9,3.7,GD Non-Harpur,Asia,3.48144,,3.8165,157.3401,154.9181
18,0,0,0,0,2008,27,GD Watson,38,Doctor of Philosophy,Male,1,18,India,R96,Electrical Engineering,31458.6,Electrical Engineering PhD,0,44048.6,12590,1,4,4,0,0,0,0,0,0,0,0,2,4,4.4,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
19,0,0,0,4968,2008,30.3,GD Harpur,42,Doctor of Philosophy,Female,1,19,Asia,C60,Translation Studies,26123.65,Harpur Doctor of Philosophy,Bachelors Prepared,41225.65,15102,1,3.32,3.65,3.87,0,0,0,0,0,0,0.28,3,3.61,5,GD Harpur,Asia,3.48144,,3.8165,157.3401,154.9181
20,4185,4185,4435,4435,2010,41.3,GD Education,51,Doctor of Education,Female,1,20,White,E99,Educational Theory and Practic,4846.78,Education EDD,0,27672.78,22826,1,4,3.9,4,4,4,0,0,0,0,0.01,5,3.98,5.6,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
21,0,0,0,0,2007,28,GD Harpur,40,Doctor of Philosophy,Female,0,21,Europe,C60,Translation Studies,27119.3,Harpur Doctor of Philosophy,Masters Prepared,27119.3,0,1,4,4,0,0,0,0,0,0,0,0,2,4,4.4,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
22,5166,6890,5688,5688,2008,39.7,GD Harpur,51,Doctor of Philosophy,Female,1,22,Asia,C38,Philosophy Interpretation and,17482.13,Harpur Doctor of Philosophy,Masters Prepared,48521.13,31039,1,4,3.81,3.87,3.85,4,0,0,0,1,0,5,3.91,9.7,GD Harpur,Asia,3.75,,3.8165,157.3401,154.9181
23,0,0,3141,3141,2008,33,GD Harpur,44,Doctor of Philosophy,Male,1,23,White,C13,Biological Sciences,12541.64,Harpur Doctor of Philosophy,Bachelors Prepared,25845.64,13304,1,4,4,3.33,4,0,0,0,0,0,-0.07,4,3.83,5,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
24,0,0,0,4968,2008,24.3,GD Watson,36,Doctor of Philosophy,Male,1,24,Europe,R93,Systems Science,17924.85,Systems Science PhD,0,22892.85,4968,1,4,4,4,4,0,0,0,0,0,0,4,4,1.6,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
25,0,0,0,4968,2008,30.7,GD Watson,42,Doctor of Philosophy,Male,1,25,China,R87,Industrial and Systems Enginee,27509.74,Industrial and Systems Eng PhD,0,38593.74,11084,1,3.9,3.85,4,0,0,0,0,0,0,0.05,3,3.92,4.2,GD Non-Harpur,China,3.48144,,3.8165,157.3401,154.9181
26,0,0,4968,4968,2008,22,GD Harpur,33,Doctor of Philosophy,Female,1,26,India,C13,Biological Sciences,18410.49,Harpur Doctor of Philosophy,Masters Prepared,32148.49,13738,1,3.69,3.67,4,4,0,0,0,0,0,0.13,4,3.84,4.4,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
27,0,0,0,0,2013,28.3,GD Harpur,35,Doctor of Philosophy,Male,0,27,White,C23,English,33428.87,Harpur Doctor of Philosophy,Masters Prepared,33428.87,0,1,4,3.85,3.85,4,0,0,0,0,0,0,4,3.92,2.6,GD Harpur,White,3.7,,4,135,149
28,0,0,0,0,2008,30.3,GD Harpur,42,Doctor of Philosophy,Male,0,28,Hispanic or Latino,C60,Translation Studies,4709.65,Harpur Doctor of Philosophy,Masters Prepared,4709.65,0,1,3.7,3.3,0,0,0,0,0,0,1,-0.4,2,3.5,2.3,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
29,4968,6072,5166,5683.2,2009,24,GD Grad School,34,Doctor of Philosophy,Male,1,29,India,H21,Materials Science and Engineer,16701.22,Graduate School PhD,0,47720.42,31019.2,1,3.5,3.53,4,0,0,0,0,0,0,0.25,3,3.68,6,GD Non-Harpur,White,3.5,,3.8165,157.3401,154.9181
30,0,0,3141,0,2008,22,GD Harpur,33,Doctor of Philosophy,Female,1,30,White,C33,Comparative Literature,135358.84,Harpur Doctor of Philosophy,Bachelors Prepared,151441.84,16083,1,3.67,3.67,3.56,3.67,3.22,4,4,0,1,0.05,7,3.68,9,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
31,0,0,0,0,2008,24.7,GD Watson,36,Doctor of Philosophy,Male,0,31,White,R96,Electrical Engineering,24079.95,Electrical Engineering PhD,0,24079.95,0,1,4,4,3.65,4,4,4,4,0,0,0.01,7,3.95,3.7,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
32,0,0,0,4968,2008,23.3,GD Harpur,35,Doctor of Philosophy,Female,1,32,India,C13,Biological Sciences,27135.39,Harpur Doctor of Philosophy,Bachelors Prepared,39483.39,12348,1,2.44,3.08,3.3,3.93,3.93,0,0,0,0,0.38,5,3.34,5,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
33,4968,4968,5166,5166,2009,26,GD Watson,36,Doctor of Philosophy,Male,1,33,India,R91,Biomedical Engineering,12037.93,Bioengineering PhD,0,52161.93,40124,1,4,4,4,4,4,4,0,0,1,0,6,4,4.4,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
34,0,0,4968,4968,2008,29,GD Harpur,40,Doctor of Philosophy,Female,1,34,Other International Students,C29,History,22748.49,Harpur Doctor of Philosophy,Masters Prepared,35096.49,12348,1,4,3.87,3.76,0,0,0,0,0,0,-0.12,3,3.88,5.4,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
