,1st_Term_Funding,2nd_Term_Funding,3rd_Term_Funding,4th_Term_Funding,Start_year,Start_age,College,Age,Degree,Gender,funding_indicator,ID,Citizenship,Major_id,Major,net_cost,Program,Prep Level,Total Charges,Total Funding Amount,Y,Term 1 GPA,Term 2 GPA,Term 3 GPA,Term 4 GPA,Term 5 GPA,Term 6 GPA,Term 7 GPA,Term 8 GPA,gap_indicator,GPA_trend,Valid term,Average_GPA,academic_period,s_College,s_Citizenship,Average Precol GPA,GMAT Score,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
1,4685,4935,4110,432,2013,22.3,GD Harpur,29,Doctor of Philosophy,Male,1,1,White,C15,Chemistry,3547.46,Harpur Doctor of Philosophy,Bachelors Prepared,20406.46,16859,1,3.88,3.5,4,0,0,0,0,0,0,0.06,3,3.79,4.6,GD Harpur,White,3.51,,3.5,159,160
2,0,0,0,0,2013,25.3,GD Nursing,32,Doctor of Nursing Practice,Male,0,2,Black or African American,D71,Community Health NP,20191.5,Nursing DNP,0,20191.5,0,1,3.91,3,3.55,2.89,3.4,3.66,0,0,1,-0.02,6,3.4,3,GD Non-Harpur,White,2.975,,3.8165,157.3401,154.9181
3,4685,4685,3699,3699,2012,22,GD Harpur,29,Doctor of Philosophy,Female,1,3,Asian,C45,Behavioral Neuroscience,5677.51,Harpur Doctor of Philosophy,Bachelors Prepared,32939.51,27262,1,3.57,3.12,2.85,3.28,3,3,0,0,0,-0.08,6,3.14,5.4,GD Harpur,White,3.49,,4,155,147
4,4685,4685,3699,3699,2012,23,GD Harpur,30,Doctor of Philosophy,Female,1,4,White,C46,Cognitive Psychology,5698.7,Harpur Doctor of Philosophy,Bachelors Prepared,32054.7,26356,1,4,4,4,3.85,4,4,0,0,0,0,6,3.98,4.4,GD Harpur,White,4.005,,5.5,159,170
5,14616,0,0,0,2012,24.3,GD Nursing,32,Doctor of Nursing Practice,Male,1,5,Asia,D70,Family Nurse Practitioner,12732.34,Nursing DNP,0,27348.34,14616,1,3.94,3.93,3.95,4,3.83,4,4,0,0,0.01,7,3.95,3,GD Non-Harpur,Asia,3.52333,,4,160,148
6,4685,8340,6885,6885,2012,21,GD Watson,28,Doctor of Philosophy,Male,1,6,White,R96,Electrical Engineering,7330.7,Electrical Engineering PhD,0,35807.7,28477,1,4,4,4,3.67,0,0,0,0,0,-0.1,4,3.92,2.4,GD Non-Harpur,White,3.11,,3.8165,157.3401,154.9181
7,0,0,0,0,2012,22,GD Nursing,29,Doctor of Nursing Practice,Female,0,7,White,D70,Family Nurse Practitioner,28636.5,Nursing DNP,0,28636.5,0,1,3.35,3.5,3.2,2.96,3.48,4,4,4,0,0.12,8,3.56,6.4,GD Non-Harpur,White,3.27,,3.8165,157.3401,154.9181
8,4435,4435,4685,4685,2011,28,GD Nursing,36,Doctor of Philosophy,Female,1,8,Hispanic or Latino,D99,Nursing,12842.56,Nursing PhD,0,40250.56,27408,1,3.85,4,3.93,4,4,4,0,0,0,0.02,6,3.96,6.8,GD Non-Harpur,White,3.17,,4,141,147
9,0,0,0,0,2013,44,GD Nursing,50,Doctor of Nursing Practice,Male,0,9,White,D70,Family Nurse Practitioner,21402,Nursing DNP,0,21402,0,1,4,3.91,4,4,4,0,0,0,1,0.01,5,3.98,3.4,GD Non-Harpur,White,3.59,,5,155,164
10,453,0,0,0,2014,22.3,GD Watson,28,Doctor of Philosophy,Male,1,10,White,R87,Industrial and Systems Enginee,803.5,Industrial and Systems Eng PhD,0,1256.5,453,1,3.5,3.53,3.77,4,3.43,4,0,0,1,0.07,6,3.71,4,GD Non-Harpur,White,2.615,,4.5,153,158
11,3699,3699,432,432,2013,23,GD Harpur,29,Doctor of Philosophy,Male,1,11,White,C49,Physics,64128.01,Harpur Doctor of Philosophy,Bachelors Prepared,75570.01,11442,1,3.7,3.7,0,0,0,0,0,0,0,0,2,3.7,5,GD Harpur,White,3.19,,4,159,163
12,8325,8325,925,925,2013,23,GD Harpur,29,Doctor of Philosophy,Female,1,12,China,C34,Mathematics,7205.98,Harpur Doctor of Philosophy,Masters Prepared,27555.98,20350,1,3.8,4,3.97,4,4,4,0,0,0,0.03,6,3.96,4.4,GD Harpur,China,3.72,,3,166,170
13,432,432,453,453,2012,22,GD Watson,29,Doctor of Philosophy,Male,1,13,White,R92,Computer Science,3357.92,Computer Science PhD,0,6033.92,2676,1,4,4,4,4,0,0,0,0,0,0,4,4,6.4,GD Non-Harpur,White,3.9,,3.8165,157.3401,154.9181
14,0,0,3141,3141,2008,22,GD Harpur,33,Doctor of Philosophy,Female,1,14,White,C45,Behavioral Neuroscience,24895.58,Harpur Doctor of Philosophy,Bachelors Prepared,45721.58,20826,1,3.38,3.64,3.7,3.93,3.5,4,0,0,0,0.08,6,3.69,5.4,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
15,0,0,0,4968,2008,23.7,GD Watson,35,Doctor of Philosophy,Male,1,15,Africa,R98,Mechanical Engineering,19598.5,Mechanical Engineering PhD,0,25692.5,6094,1,4,4,4,0,0,0,0,0,0,0,3,4,2.2,GD Non-Harpur,Africa,3.48144,,3.8165,157.3401,154.9181
16,4968,4968,3141,3141,2008,31,GD Harpur,42,Doctor of Philosophy,Female,1,16,Unknown,C33,Comparative Literature,22524.84,Harpur Doctor of Philosophy,Masters Prepared,47109.84,24585,1,4,3.87,3.92,3.87,4,0,0,0,0,0,5,3.93,8.4,GD Harpur,White,3.48144,,6,143,160
