SAPC1,SAPC2,SAPC3   
-225.54549,121.2944555,4.94512
-222.9505736,121.2944555,4.720366847
-213.38251,121.2944555,5.30638
-232.774995,121.2944555,6.77081
-217.5604767,121.2944555,5.328446667
-222.9504386,121.2944555,4.809736847
-222.9502786,121.2944555,4.915656847
-222.9503786,126.388,4.849456847
-225.67341,121.2944555,6.12158
-219.954385,121.2944555,5.10163
-227.71481,121.2944555,5.10778
-222.9498286,261.831,5.213556847
-222.9496486,121.2944555,5.332716847
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,236.092,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9497986,121.2944555,5.233416847
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9498486,181.148,5.200316847
-222.9500672,121.2944555,5.055630202
-222.9500486,121.2944555,5.067916847
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9501386,157.1765,5.008336847
-222.9500672,121.2944555,5.055630202
-222.9503286,121.2944555,4.882556847
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9501186,121.2944555,5.021576847
-222.9500086,121.2944555,5.094396847
-222.9500672,121.2944555,5.055630202
-222.9495986,121.2944555,5.365816847
-222.9499386,121.2944555,5.140736847
-222.9495486,121.2944555,5.398916847
-222.9495486,121.2944555,5.398916847
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9501486,121.2944555,5.001716847
-222.9496953,121.2944555,5.301823513
-222.9500486,121.2944555,5.067916847
-222.9500486,121.2944555,5.067916847
-222.9500286,121.2944555,5.081156847
-222.9499486,122.7925,5.134116847
-222.9501786,121.2944555,4.981856847
-222.9501686,121.2944555,4.988476847
-222.9503836,121.2944555,4.846146847
-222.9500672,121.2944555,5.055630202
-222.9495786,121.2944555,5.379056847
-222.9499186,121.2944555,5.153976847
-222.9500672,121.2944555,5.055630202
-222.9499986,121.2944555,5.101016847
-222.9500672,121.2944555,5.055630202
-222.9505086,121.2944555,4.763396847
-222.9498586,121.2944555,5.193696847
-222.9500672,121.2944555,5.055630202
-222.9498486,121.2944555,5.200316847
-222.9498386,121.2944555,5.206936847
-222.9500672,121.2944555,5.055630202
-222.9503853,121.2944555,4.845043513
-222.9495486,121.2944555,5.398916847
-222.9495686,121.2944555,5.385676847
-222.9497486,121.2944555,5.266516847
-222.9502486,121.2944555,4.935516847
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9498186,121.2944555,5.220176847
-222.9500672,121.2944555,5.055630202
-222.9497086,121.2944555,5.292996847
-222.9497186,121.2944555,5.286376847
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9496686,121.2944555,5.319476847
-222.9500672,121.2944555,5.055630202
-222.9500536,121.2944555,5.064606847
-222.9505486,121.2944555,4.736916847
-222.9495786,121.2944555,5.379056847
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9496836,121.2944555,5.309546847
-222.9497486,121.2944555,5.266516847
-222.9497186,121.2944555,5.286376847
-222.9500986,121.2944555,5.034816847
-222.9497986,121.2944555,5.233416847
-222.9496786,121.2944555,5.312856847
-222.9500672,121.2944555,5.055630202
-222.9498186,121.2944555,5.220176847
-222.9500672,121.2944555,5.055630202
-222.9497686,121.2944555,5.253276847
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9499736,121.2944555,5.117566847
-222.9500672,121.2944555,5.055630202
-222.9507486,121.2944555,4.604516847
-222.9500486,121.2944555,5.067916847
-222.9500486,121.2944555,5.067916847
-222.9497386,121.2944555,5.273136847
-222.9498986,121.2944555,5.167216847
-222.9503686,121.2944555,4.856076847
-222.9499936,121.2944555,5.104326847
-222.9498211,121.2944555,5.218521847
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500786,121.2944555,5.048056847
-222.9499086,121.2944555,5.160596847
-222.9500672,121.2944555,5.055630202
-222.9499336,121.2944555,5.144046847
-222.9500672,121.2944555,5.055630202
-222.9501286,121.2944555,5.014956847
-222.9502886,121.2944555,4.909036847
-222.9496086,121.2944555,5.359196847
-222.9500672,193.401,5.055630202
-222.9501486,121.2944555,5.001716847
-230.67055,121.2944555,5.6544
-222.9505486,121.2944555,4.736916847
-222.9504386,121.2944555,4.809736847
-222.9500672,121.2944555,5.055630202
-222.9499886,121.2944555,5.107636847
-222.9498011,121.2944555,5.231761847
-222.9500672,121.2944555,5.055630202
-222.9495886,121.2944555,5.372436847
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9496486,121.2944555,5.332716847
-222.9500672,121.2944555,5.055630202
-222.9500486,121.2944555,5.067916847
-222.9497936,121.2944555,5.236726847
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9497886,121.2944555,5.240036847
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
-222.9500672,121.2944555,5.055630202
